"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"C7,C10";"CP_Radial_D6.3mm_P2.50mm";2;"100µFx16V";;;
2;"R15,R19,R20,R21,R18,R16,R22,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"10К";;;
3;"DA2";"TO-92_Inline";1;"LM79L05";;;
4;"C1,C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"0,1µF";;;
5;"ZQ1";"Crystal_HC18-U_Vertical";1;"8MHz";;;
6;"X3";"PinHeader_2x7_P2.54mm_Drill1.2mm";1;"0878311420";;;
7;"DD4";"DIP-8_W7.62mm";1;"DS1307";;;
8;"VD2,VD1";"Diode_Bridge_Round_D9.0mm";2;"1W005M";;;
9;"R25,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"0,51К";;;
10;"BAT1";"BAT_BS-7";1;"CR2032";;;
11;"DA1";"TO-220-3_Vertical";1;"uA7805";;;
12;"DD7,DD5,DD6";"DIP-6_W7.62mm";3;"4N35";;;
13;"DD8";"DIP-8_W7.62mm";1;"MAX485";;;
14;"X5";"PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal";1;"22-23-2021";;;
15;"X1";"PhoenixContact_MSTB_2,5_10-GF-5,08_1x10_P5.08mm_Horizontal_ThreadedFlange_MountHole";1;"Conn_01x10_Male";;;
16;"R23,R24";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"1К";;;
17;"RS2,RS1";"Relay_THT_G5LE-14";2;"BS-115C";;;
18;"DD1";"DIP-40_W15.24mm";1;"ATmega16L-16P";;;
19;"X2,X4";"PinHeader_2x5_P2.54mm_Drill1.2mm";2;"302-S101";;;
20;"T1";"Transformer_TP-122";1;"Transformer_TP-122";;;
21;"DA3";"TO-92_Inline";1;"LM78L05";;;
22;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"300";;;
23;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1,1К";;;
24;"F1";"Fuse_Littelfuse-LVR100_AKV";1;"0,25A";;;
25;"DD2";"DIP-8_W7.62mm";1;"TL7705A";;;
26;"DD3";"DIP-8_W7.62mm";1;"24LC256";;;
27;"C9";"CP_Radial_D10.0mm_P5.00mm";1;"1000µFx16V";;;
28;"ZQ2";"Crystal_C38-LF_D3.0mm_L8.0mm_Vertical";1;"32768Hz";;;
29;"C18,C17,C19,C16,C21,C20,C14,C15";"C_1206_3216Metric";8;"3,3nF";;;
30;"VD5,VD9,VD10,VD4,VD3,VD8,VD6,VD12,VD11,VD7";"D_MiniMELF";10;"LL4148";;;
31;"R8,R10";"R_1206_3216Metric";2;"300";;;
32;"R2,R3,R1";"R_1206_3216Metric";3;"5,1K";;;
33;"R6,R7";"R_1206_3216Metric";2;"1К";;;
34;"C13,C8,C11,C12,C6,C3";"C_1206_3216Metric";6;"0,47µF";;;
35;"VT2,VT1";"SOT-23";2;"KT3153";;;
36;"R14,R13";"R_1206_3216Metric";2;"100";;;
37;"C5,C4";"C_1206_3216Metric";2;"30pF";;;
38;"R12,R11,R9";"R_1206_3216Metric";3;"82К";;;
